HomeTeam.Points,HomeTeam.TeamCode,GuestTeam.Points,GuestTeam.TeamCode,GameDateTime,GameDateTimeUTC,EventStatus,Venue,VenueCode,PhaseId,Group,Status,GameNumber,GameId,TimeOffset,TimeOffsetNum
0,FIN,0,GER,2021-12-26T12:00:00,2021-12-26T19:00:00Z,2,Rogers Place,EDM,PreliminaryRound,A,UPCOMING,1,9501,GMT-7,-7
0,RUS,0,SWE,2021-12-26T14:30:00,2021-12-26T21:30:00Z,2,WP Centrium,WPC,PreliminaryRound,B,UPCOMING,2,9502,GMT-7,-7
0,CZE,0,CAN,2021-12-26T17:00:00,2021-12-27T00:00:00Z,2,Rogers Place,EDM,PreliminaryRound,A,UPCOMING,3,9503,GMT-7,-7
0,USA,0,SVK,2021-12-26T19:30:00,2021-12-27T02:30:00Z,2,WP Centrium,WPC,PreliminaryRound,B,UPCOMING,4,9504,GMT-7,-7
0,AUT,0,FIN,2021-12-27T12:00:00,2021-12-27T19:00:00Z,2,Rogers Place,EDM,PreliminaryRound,A,UPCOMING,5,9505,GMT-7,-7
0,RUS,0,SUI,2021-12-27T14:30:00,2021-12-27T21:30:00Z,2,WP Centrium,WPC,PreliminaryRound,B,UPCOMING,6,9506,GMT-7,-7
0,GER,0,CZE,2021-12-27T17:00:00,2021-12-28T00:00:00Z,2,Rogers Place,EDM,PreliminaryRound,A,UPCOMING,7,9507,GMT-7,-7
0,SWE,0,SVK,2021-12-27T19:30:00,2021-12-28T02:30:00Z,2,WP Centrium,WPC,PreliminaryRound,B,UPCOMING,8,9508,GMT-7,-7
0,SUI,0,USA,2021-12-28T14:30:00,2021-12-28T21:30:00Z,2,WP Centrium,WPC,PreliminaryRound,B,UPCOMING,9,9509,GMT-7,-7
0,AUT,0,CAN,2021-12-28T17:00:00,2021-12-29T00:00:00Z,2,Rogers Place,EDM,PreliminaryRound,A,UPCOMING,10,9510,GMT-7,-7
0,FIN,0,CZE,2021-12-29T12:00:00,2021-12-29T19:00:00Z,2,Rogers Place,EDM,PreliminaryRound,A,UPCOMING,11,9511,GMT-7,-7
0,SVK,0,RUS,2021-12-29T14:30:00,2021-12-29T21:30:00Z,2,WP Centrium,WPC,PreliminaryRound,B,UPCOMING,12,9512,GMT-7,-7
0,CAN,0,GER,2021-12-29T17:00:00,2021-12-30T00:00:00Z,2,Rogers Place,EDM,PreliminaryRound,A,UPCOMING,13,9513,GMT-7,-7
0,SWE,0,USA,2021-12-29T19:30:00,2021-12-30T02:30:00Z,2,WP Centrium,WPC,PreliminaryRound,B,UPCOMING,14,9514,GMT-7,-7
0,CZE,0,AUT,2021-12-30T14:30:00,2021-12-30T21:30:00Z,2,Rogers Place,EDM,PreliminaryRound,A,UPCOMING,15,9515,GMT-7,-7
0,SVK,0,SUI,2021-12-30T17:00:00,2021-12-31T00:00:00Z,2,WP Centrium,WPC,PreliminaryRound,B,UPCOMING,16,9516,GMT-7,-7
0,GER,0,AUT,2021-12-31T12:00:00,2021-12-31T19:00:00Z,2,Rogers Place,EDM,PreliminaryRound,A,UPCOMING,17,9517,GMT-7,-7
0,SUI,0,SWE,2021-12-31T14:30:00,2021-12-31T21:30:00Z,2,WP Centrium,WPC,PreliminaryRound,B,UPCOMING,18,9518,GMT-7,-7
0,CAN,0,FIN,2021-12-31T17:00:00,2022-01-01T00:00:00Z,2,Rogers Place,EDM,PreliminaryRound,A,UPCOMING,19,9519,GMT-7,-7
0,USA,0,RUS,2021-12-31T19:30:00,2022-01-01T02:30:00Z,2,WP Centrium,WPC,PreliminaryRound,B,UPCOMING,20,9520,GMT-7,-7
