id,Rk,...2,Name,Age,Pos,GP,G,A,P,PIM,+/-,PPG,SHG,GWG,G/GP,A/GP,P/GP
1,1,NA,Maximilian Theirich,17,FALSE,1,0,0,0,0,0,0,0,0,0,0,0
1,2,NA,Marco Rossi,19,FALSE,2,0,0,0,0,-5,0,0,0,0,0,0
1,3,NA,Lucas Thaler,18,FALSE,2,0,0,0,0,-1,0,0,0,0,0,0
1,4,NA,Leon Wallner,18,FALSE,2,0,0,0,0,-2,0,0,0,0,0,0
1,5,NA,Fabian Hochegger,19,FALSE,2,0,0,0,2,-1,0,0,0,0,0,0
1,6,NA,Senna Peeters,18,FALSE,2,0,0,0,0,-4,0,0,0,0,0,0
1,7,NA,Marco Kasper,16,FALSE,2,0,0,0,2,0,0,0,0,0,0,0
1,8,NA,Clemens Krainz,19,FALSE,2,0,0,0,4,-3,0,0,0,0,0,0
1,9,NA,Julian Pauschenwein,19,FALSE,2,0,0,0,0,-3,0,0,0,0,0,0
1,10,NA,Finn Van Ee,17,FALSE,2,0,0,0,0,-2,0,0,0,0,0,0
1,11,NA,Marlon Tschofen,18,FALSE,2,0,0,0,0,-2,0,0,0,0,0,0
1,12,NA,Tim Harnisch,19,FALSE,2,0,0,0,0,-5,0,0,0,0,0,0
1,13,NA,Mathias Böhm,17,FALSE,2,0,0,0,0,-3,0,0,0,0,0,0
1,14,NA,Dominik Unterweger,19,FALSE,2,0,0,0,0,-2,0,0,0,0,0,0
2,1,NA,Dylan Cozens,19,FALSE,3,4,5,9,4,5,2,0,0,1.333,1.667,3
2,2,NA,Quinton Byfield,18,FALSE,3,2,5,7,2,7,1,0,0,0.667,1.667,2.333
2,3,NA,Philip Tomasino,19,FALSE,3,4,2,6,0,7,0,0,3,1.333,0.667,2
2,4,NA,Peyton Krebs,19,FALSE,3,2,3,5,2,5,1,0,0,0.667,1,1.667
2,5,NA,Connor McMichael,19,FALSE,3,2,3,5,2,3,0,1,0,0.667,1,1.667
2,6,NA,Dawson Mercer,19,FALSE,3,2,3,5,2,6,0,1,0,0.667,1,1.667
2,7,NA,Alex Newhook,19,FALSE,3,2,3,5,2,7,0,0,0,0.667,1,1.667
2,8,NA,Cole Perfetti,18,FALSE,3,1,4,5,2,3,0,0,0,0.333,1.333,1.667
2,9,NA,Jakob Pelletier,19,FALSE,3,3,1,4,0,7,0,0,0,1,0.333,1.333
2,10,NA,Jack Quinn,19,FALSE,3,1,3,4,0,8,0,0,0,0.333,1,1.333
2,11,NA,Ryan Suzuki,19,FALSE,3,2,1,3,0,5,1,0,0,0.667,0.333,1
2,12,NA,Dylan Holloway,19,FALSE,2,0,1,1,2,4,0,0,0,0,0.5,0.5
2,13,NA,Connor Zary,19,FALSE,3,0,1,1,2,3,0,0,0,0,0.333,0.333
3,1,NA,Jan Mysak,18,FALSE,3,1,0,1,0,-1,1,0,0,0.333,0,0.333
3,2,NA,Martin Lang,19,FALSE,3,1,0,1,0,0,0,0,0,0.333,0,0.333
3,3,NA,Filip Koffer,19,FALSE,3,1,0,1,2,-1,0,0,1,0.333,0,0.333
3,4,NA,Jaromir Pytlik,19,FALSE,1,0,1,1,0,-1,0,0,0,0,1,1
3,5,NA,Michal Teplý,19,FALSE,3,0,1,1,0,-2,0,0,0,0,0.333,0.333
3,6,NA,Jakub Rychlovsky,19,FALSE,3,0,1,1,2,0,0,0,0,0,0.333,0.333
3,7,NA,Adam Raska,19,FALSE,2,0,0,0,4,-1,0,0,0,0,0,0
3,8,NA,Pavel Novak,18,FALSE,3,0,0,0,0,-3,0,0,0,0,0,0
3,9,NA,Michal Gut,18,FALSE,3,0,0,0,2,-2,0,0,0,0,0,0
3,10,NA,Filip Prikryl,19,FALSE,3,0,0,0,2,-1,0,0,0,0,0,0
3,11,NA,Radek Muzik,19,FALSE,3,0,0,0,0,-1,0,0,0,0,0,0
3,12,NA,Adam Najman,19,FALSE,3,0,0,0,4,0,0,0,0,0,0,0
3,13,NA,David Vitouch,19,FALSE,3,0,0,0,2,-3,0,0,0,0,0,0
3,14,NA,Martin BerÃ¡nek,19,FALSE,3,0,0,0,2,-1,0,0,0,0,0,0
4,1,NA,Anton Lundell,19,FALSE,2,2,1,3,2,3,0,0,0,1,0.5,1.5
4,2,NA,Aku Räty,19,FALSE,2,2,1,3,0,1,1,0,0,1,0.5,1.5
4,3,NA,Kasper Simontaival,18,FALSE,2,1,2,3,0,3,1,0,0,0.5,1,1.5
4,4,NA,Henri Nikkanen,19,FALSE,2,1,1,2,0,1,1,0,0,0.5,0.5,1
4,5,NA,Juuso PÃ¤rssinen,19,FALSE,2,1,1,2,0,-1,1,0,1,0.5,0.5,1
4,6,NA,Roni Hirvonen,18,FALSE,2,0,2,2,16,3,0,0,0,0,1,1
4,7,NA,Brad Lambert,17,FALSE,2,0,2,2,0,-1,0,0,0,0,1,1
4,8,NA,Mikael PyyhtiÃ¤,19,FALSE,2,1,0,1,0,1,0,0,0,0.5,0,0.5
4,9,NA,Roby JÃ¤rventie,18,FALSE,2,0,0,0,0,-1,0,0,0,0,0,0
4,10,NA,Matias MÃ¤ntykivi,19,FALSE,2,0,0,0,0,0,0,0,0,0,0,0
4,11,NA,Mikko Petman,19,FALSE,2,0,0,0,0,0,0,0,0,0,0,0
4,12,NA,Petteri Puhakka,19,FALSE,2,0,0,0,0,0,0,0,0,0,0,0
4,13,NA,Samuel Helenius,18,FALSE,2,0,0,0,0,0,0,0,0,0,0,0
4,14,NA,Benjamin Korhonen,19,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5,1,NA,Florian Elias,18,FALSE,3,3,3,6,2,-3,2,0,0,1,1,2
5,2,NA,Tim Stützle,18,FALSE,3,3,2,5,4,-5,1,0,0,1,0.667,1.667
5,3,NA,John Peterka,18,FALSE,3,1,4,5,0,-6,1,0,0,0.333,1.333,1.667
5,4,NA,Samuel DubÃ©,18,FALSE,3,1,0,1,0,-9,1,0,0,0.333,0,0.333
5,5,NA,Manuel Alberg,19,FALSE,3,0,1,1,0,-8,0,0,0,0,0.333,0.333
5,6,NA,Justin Volek,18,FALSE,3,0,1,1,2,-6,0,0,0,0,0.333,0.333
5,7,NA,Steven Raabe,19,FALSE,3,0,0,0,0,-4,0,0,0,0,0,0
5,8,NA,Enrico Henriquez-Morales,19,FALSE,3,0,0,0,0,-5,0,0,0,0,0,0
5,9,NA,Julian Chrobot,19,FALSE,3,0,0,0,0,-6,0,0,0,0,0,0
5,10,NA,Jan-Luca Schumacher,19,FALSE,3,0,0,0,4,-4,0,0,0,0,0,0
5,11,NA,Filip Reisnecker,19,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5,12,NA,Joshua Samanski,18,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5,13,NA,Jan Nijenhuis,19,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5,14,NA,Jakub Borzecki,18,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5,15,NA,Markus Schweiger,18,FALSE,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6,1,NA,Vasili Podkolzin,19,FALSE,3,2,1,3,0,1,0,0,1,0.667,0.333,1
6,2,NA,Rodion Amirov,19,FALSE,3,1,2,3,2,1,0,0,0,0.333,0.667,1
6,3,NA,Marat Khusnutdinov,18,FALSE,3,1,2,3,2,2,0,0,0,0.333,0.667,1
6,4,NA,Yegor Afanasyev,19,FALSE,3,1,2,3,0,2,0,0,0,0.333,0.667,1
6,5,NA,Vasily Ponomaryov,18,FALSE,3,2,0,2,0,0,0,0,0,0.667,0,0.667
6,6,NA,Arseni Gritsyuk,19,FALSE,3,1,1,2,0,3,0,0,0,0.333,0.333,0.667
6,7,NA,Yegor Chinakhov,19,FALSE,3,1,0,1,0,0,0,0,0,0.333,0,0.333
6,8,NA,Ilya Safonov,19,FALSE,3,1,0,1,14,1,0,0,1,0.333,0,0.333
6,9,NA,Zakhar Bardakov,19,FALSE,3,1,0,1,2,3,0,0,0,0.333,0,0.333
6,10,NA,Mikhail Abramov,19,FALSE,1,0,1,1,0,2,0,0,0,0,1,1
6,11,NA,Maxim Groshev,19,FALSE,3,0,1,1,0,1,0,0,0,0,0.333,0.333
6,12,NA,Vladislav Firstov,19,FALSE,2,0,0,0,0,0,0,0,0,0,0,0
6,13,NA,Yegor Spiridonov,19,FALSE,3,0,0,0,2,0,0,0,0,0,0,0
6,14,NA,Danil Bashkirov,19,FALSE,3,0,0,0,0,-1,0,0,0,0,0,0
7,1,NA,Michal Mrazik,19,FALSE,3,2,1,3,2,2,1,1,0,0.667,0.333,1
7,2,NA,Roman Faith,18,FALSE,3,1,1,2,0,0,0,0,1,0.333,0.333,0.667
7,3,NA,Oleksii Myklukha,18,FALSE,2,1,0,1,6,1,0,0,0,0.5,0,0.5
7,4,NA,Martin Chromiak,18,FALSE,3,1,0,1,0,-4,1,0,0,0.333,0,0.333
7,5,NA,Simon Jellus,19,FALSE,3,0,1,1,2,2,0,0,0,0,0.333,0.333
7,6,NA,Juraj Elias,19,FALSE,3,0,1,1,0,1,0,0,0,0,0.333,0.333
7,7,NA,Jakub Kolenic,18,FALSE,3,0,1,1,0,1,0,0,0,0,0.333,0.333
7,8,NA,Artur Turansky,19,FALSE,1,0,0,0,2,-1,0,0,0,0,0,0
7,9,NA,Filip Mesar,16,FALSE,1,0,0,0,0,0,0,0,0,0,0,0
7,10,NA,Dominik Sojka,19,FALSE,3,0,0,0,0,-2,0,0,0,0,0,0
7,11,NA,Matej Kaslik,18,FALSE,3,0,0,0,0,-3,0,0,0,0,0,0
7,12,NA,Dominik Jendek,19,FALSE,3,0,0,0,2,0,0,0,0,0,0,0
7,13,NA,Juraj Slafkovsky,16,FALSE,3,0,0,0,2,-2,0,0,0,0,0,0
7,14,NA,Maros Jedlicka,18,FALSE,3,0,0,0,0,-1,0,0,0,0,0,0
8,1,NA,Simon Holmström,19,FALSE,2,0,4,4,2,2,0,0,0,0,2,2
8,2,NA,Noel Gunler,19,FALSE,2,3,0,3,0,2,2,0,1,1.5,0,1.5
8,3,NA,Lucas Raymond,18,FALSE,2,1,2,3,0,1,0,0,0,0.5,1,1.5
8,4,NA,Theodor Niederbach,18,FALSE,2,2,0,2,0,1,1,0,0,1,0,1
8,5,NA,Elmer SÃ¶derblom,19,FALSE,2,1,1,2,0,1,1,0,0,0.5,0.5,1
8,6,NA,Albin Sundsvik,19,FALSE,2,1,1,2,0,2,1,0,1,0.5,0.5,1
8,7,NA,Oscar Bjerselius,19,FALSE,1,1,0,1,0,1,0,0,0,1,0,1
8,8,NA,Arvid Costmar,19,FALSE,2,1,0,1,0,2,0,0,0,0.5,0,0.5
