player,team,league,position,draft_eligible,nation,pos_fac
Jakob Brandner,Titaanit,Finland 3rd division,G,2021,austria,3
Leonhard Sommer,Linz 2,Austria 2nd division,G,2021,austria,3
Sebastian Wraneschitz,Vienna,AUT,G,2021,austria,3
Jonas Kutzer,Dornbirn,AUT,D,2021,austria,2
Luis Lindner,Boston Jr. Bruins,NCDC,D,2021,austria,2
Moritz Molls,Okanagan Jr.,Austria Jr. league,D,2021,austria,2
Lukas Necesany,RB Hockey Akademia,Czech Jr. league,D,2021,austria,2
Timo Pallierer,Vienna,AUT,D,2021,austria,2
Jacob Pfeffer,Graz,AUT,D,2021,austria,2
Bernhard Posch,Bregenzerwald,Austria 2nd division,D,2021,austria,2
Niklas Wetzl,Tuto Jr.,Finland Jr. league,D,2021,austria,2
Philipp Wimmer,RB Hockey Juniors,Austria 2nd division,D,2021,austria,2
Mathias Bohm,Vienna Jr.,Austria Jr. league,F,2021,austria,1
Tim Harnisch,RB Hockey Juniors,Austria 2nd division,F,2021,austria,1
Maximillian Hengelmuller,RB Hockey Juniors,Austria 2nd division,F,2021,austria,1
Fabian Hochegger,Klagenfurt 2,Austria 2nd division,F,2021,austria,1
Marco Kasper,Rogle Jr.,Sweden Jr. league,F,2022,austria,1
Clemens Krainz,Graz,AUT,F,2021,austria,1
Julian Pauschenwein,Graz,AUT,F,2021,austria,1
Senna Peeters,Rogle Jr.,Sweden Jr. league,F,2021,austria,1
Marco Rossi,Ottawa,OHL,F,Drafted,austria,1
Lucas Thaler,Mora Jr.,Sweden Jr. league,F,2021,austria,1
Maximilian Theirich,Klagenfurt 2,Austria 2nd division,F,2021,austria,1
Marlon Tschofen,Kloten Jr.,Swiss Jr. league,F,2021,austria,1
Dominik Unterweger,Feldkirch,Austria 2nd division,F,2021,austria,1
Finn van Ee,Klagenfurt 2,Austria 2nd division,F,2021,austria,1
Leon Wallner,Sodertalje Jr.,Sweden Jr. league,F,2021,austria,1
Dylan Garand,Kamloops,WHL,G,Drafted,canada,3
Taylor Gauthier,Prince George,WHL,G,2021,canada,3
Devon Levi,Northeastern,H-EAST,G,Drafted,canada,3
Justin Barron,Halifax,QMJHL,D,Drafted,canada,2
Bowen Byram,Vancouver,WHL,D,Drafted,canada,2
Jamie Drysdale,Erie,OHL,D,Drafted,canada,2
Kaiden Guhle,Prince Albert,WHL,D,Drafted,canada,2
Thomas Harley,Mississauga,OHL,D,Drafted,canada,2
Kaedan Korczak,Kelowna,WHL,D,Drafted,canada,2
Braden Schneider,Brandon,WHL,D,Drafted,canada,2
Jordan Spence,Moncton,QMJHL,D,Drafted,canada,2
Quinton Byfield,Sudbury,OHL,F,Drafted,canada,1
Dylan Cozens,Lethbridge,WHL,F,Drafted,canada,1
Kirby Dach,Chicago Blackhawks,NHL,F,Drafted,canada,1
Dylan Holloway,Wisconsin,BIG 10,F,Drafted,canada,1
Peyton Krebs,Winnipeg,WHL,F,Drafted,canada,1
Connor McMichael,London,OHL,F,Drafted,canada,1
Dawson Mercer,Chicoutimi,QMJHL,F,Drafted,canada,1
Alex Newhook,Boston College,HE,F,Drafted,canada,1
Jakob Pelletier,Val-d'Or,QMJHL,F,Drafted,canada,1
Cole Perfetti,Saginaw,OHL,F,Drafted,canada,1
Jack Quinn,Ottawa,OHL,F,Drafted,canada,1
Ryan Suzuki,Saginaw,OHL,F,Drafted,canada,1
Philip Tomasino,Oshawa,OHL,F,Drafted,canada,1
Connor Zary,Kamloops,WHL,F,Drafted,canada,1
Jan Bednar,Acadie-Bathurst,QMJHL,G,Drafted,czech_republic,3
Nick Malik,Sault Ste. Marie,OHL,G,2021,czech_republic,3
Lukas Parik,Liberec,Czech Extraliga,G,Drafted,czech_republic,3
Martin Has,Guelph,OHL,D,Drafted,czech_republic,2
David Jiricek,Plzen,Czech Extraliga,D,2022,czech_republic,2
Karel Klikorka,ML. Boleslav,Czech Extraliga,D,2021,czech_republic,2
Michael Krutil,Sparta Jr.,Czech Jr. league,D,Drafted,czech_republic,2
Simon Kubicek,Seattle,WHL,D,2021,czech_republic,2
Radek Kucerik,Prerov,Czech 2nd division,D,2021,czech_republic,2
Daniel Poizl,Sparta Jr.,Czech Jr. league,D,2021,czech_republic,2
Jiri Suhrada,Zlin,Czech Extraliga,D,2021,czech_republic,2
Stanislav Svozil,Brno,Czech Extraliga,D,2021,czech_republic,2
Martin Beranek,Ceske Budejovice,Czech Extraliga,F,2021,czech_republic,1
Michal Gut,Everett,WHL,F,2021,czech_republic,1
Filip Koffer,Litomerice,Czech 2nd division,F,2021,czech_republic,1
Martin Lang,Plzen,Czech Extraliga,F,2021,czech_republic,1
Radek Muzik,Lulea Jr.,Sweden Jr. league,F,2021,czech_republic,1
Jan Mysak,Litvinov,Czech Extraliga,F,Drafted,czech_republic,1
Adam Najman,Liberec,Czech Extraliga,F,2021,czech_republic,1
Pavel Novak,Litomerice,Czech 2nd division,F,Drafted,czech_republic,1
Filip Prikryl,Plzen,Czech Extraliga,F,2021,czech_republic,1
Ondrej Psenicka,Litomerice,Czech 2nd division,F,2021,czech_republic,1
Jaromir Pytlik,Sault Ste. Marie,OHL,F,Drafted,czech_republic,1
Adam Raska,Trinec,Czech Extraliga,F,Drafted,czech_republic,1
Jakub Rychlovsky,Liberec,Czech Extraliga,F,2021,czech_republic,1
Michal Teply,ML. Boleslav,Czech Extraliga,F,Drafted,czech_republic,1
Matej Toman,Litomerice,Czech 2nd division,F,2021,czech_republic,1
David Vitouch,Litomerice,Czech 2nd division,F,2021,czech_republic,1
Joel Blomqvist,Hermes,Finland 2nd division,G,Drafted,finland,3
Kari Piiroinen,Tuto,Finland 2nd division,G,2021,finland,3
