phase,date,time,home_team,away_team
Round Robin,2020-12-25,12:00,SUI,SVK
Round Robin,2020-12-25,16:00,GER,FIN
Round Robin,2020-12-25,19:30,RUS,US
Round Robin,2020-12-26,12:00,SWE,CZE
Round Robin,2020-12-26,16:00,GER,CAN
Round Robin,2020-12-26,19:30,US,AUT
Round Robin,2020-12-27,12:00,FIN,SUI
Round Robin,2020-12-27,16:00,SVK,CAN
Round Robin,2020-12-27,19:30,CZE,RUS
Round Robin,2020-12-28,16:00,AUT,SWE
Round Robin,2020-12-28,19:30,SVK,GER
Round Robin,2020-12-29,12:00,US,CZE
Round Robin,2020-12-29,16:00,CAN,SUI
Round Robin,2020-12-29,19:30,AUT,RUS
Round Robin,2020-12-30,12:00,FIN,SVK
Round Robin,2020-12-30,16:00,SUI,GER
Round Robin,2020-12-30,19:30,RUS,SWE
Round Robin,2020-12-31,12:00,CZE,AUT
Round Robin,2020-12-31,16:00,CAN,FIN
Round Robin,2020-12-31,19:30,SWE,US
Quarterfinals,2021-01-02,10:00,QF,QF
Quarterfinals,2021-01-02,13:30,QF,QF
Quarterfinals,2021-01-02,17:00,QF,QF
Quarterfinals,2021-01-02,20:30,QF,QF
Semifinals,2021-01-04,16:00,CAN,RUS
Semifinals,2021-01-04,19:30,US,FIN
Bronze,2021-01-05,15:30,FIN,RUS
Championship,2021-01-05,19:30,CAN,US
