date,nation
2020-12-25,switzerland
2020-12-25,germany
2020-12-25,russia
2020-12-26,sweden
2020-12-26,germany
2020-12-26,usa
2020-12-27,finland
2020-12-27,slovakia
2020-12-27,czech_republic
2020-12-28,austria
2020-12-28,slovakia
2020-12-29,usa
2020-12-29,canada
2020-12-29,austria
2020-12-30,finland
2020-12-30,switzerland
2020-12-30,russia
2020-12-31,czech_republic
2020-12-31,canada
2020-12-31,sweden
2020-12-25,slovakia
2020-12-25,finland
2020-12-25,usa
2020-12-26,czech_republic
2020-12-26,canada
2020-12-26,austria
2020-12-27,switzerland
2020-12-27,canada
2020-12-27,russia
2020-12-28,sweden
2020-12-28,germany
2020-12-29,czech_republic
2020-12-29,switzerland
2020-12-29,russia
2020-12-30,slovakia
2020-12-30,germany
2020-12-30,sweden
2020-12-31,austria
2020-12-31,finland
2020-12-31,usa
