player,position,g,a,gwg,ppg,shg,nation,pos_fac
Senna Peeters,F,1,0,0,0,0,austria,1
Marco Kasper,F,0,1,0,0,0,austria,1
Maximilian Theirich,F,0,0,0,0,0,austria,1
Marco Rossi,F,0,0,0,0,0,austria,1
Lucas Thaler,F,0,0,0,0,0,austria,1
Leon Wallner,F,0,0,0,0,0,austria,1
Fabian Hochegger,F,0,0,0,0,0,austria,1
Clemens Krainz,F,0,0,0,0,0,austria,1
Julian Pauschenwein,F,0,0,0,0,0,austria,1
Finn Van Ee,F,0,0,0,0,0,austria,1
Marlon Tschofen,F,0,0,0,0,0,austria,1
Tim Harnisch,F,0,0,0,0,0,austria,1
Mathias Bohm,F,0,0,0,0,0,austria,1
Dominik Unterweger,F,0,0,0,0,0,austria,1
Dylan Cozens,F,8,8,1,2,0,canada,1
Connor McMichael,F,4,4,0,0,1,canada,1
Peyton Krebs,F,3,5,0,1,0,canada,1
Jakob Pelletier,F,3,4,0,0,0,canada,1
Quinton Byfield,F,2,5,0,1,0,canada,1
Philip Tomasino,F,4,2,3,0,0,canada,1
Alex Newhook,F,3,3,1,0,0,canada,1
Dawson Mercer,F,2,4,0,0,1,canada,1
Cole Perfetti,F,2,4,0,1,0,canada,1
Jack Quinn,F,1,4,0,0,0,canada,1
Ryan Suzuki,F,2,2,0,1,0,canada,1
Dylan Holloway,F,1,1,1,0,0,canada,1
Connor Zary,F,0,2,0,0,0,canada,1
Martin Lang,F,3,1,0,0,0,czech_republic,1
Jan Mysak,F,2,1,0,1,0,czech_republic,1
Pavel Novak,F,1,2,0,0,0,czech_republic,1
Michal Teply,F,0,2,0,0,0,czech_republic,1
David Vitouch,F,0,2,0,0,0,czech_republic,1
Filip Prikryl,F,1,0,0,0,0,czech_republic,1
Filip Koffer,F,1,0,1,0,0,czech_republic,1
Jaromir Pytlik,F,0,1,0,0,0,czech_republic,1
Adam Raska,F,0,1,0,0,0,czech_republic,1
Radek Muzik,F,0,1,0,0,0,czech_republic,1
Jakub Rychlovsky,F,0,1,0,0,0,czech_republic,1
Martin Beránek,F,0,1,0,0,0,czech_republic,1
Michal Gut,F,0,0,0,0,0,czech_republic,1
Adam Najman,F,0,0,0,0,0,czech_republic,1
Anton Lundell,F,6,4,1,1,0,finland,1
Kasper Simontaival,F,4,3,0,2,0,finland,1
Roni Hirvonen,F,2,4,1,1,0,finland,1
Juuso Pxxxrssinen,F,2,2,1,1,0,finland,1
Samuel Helenius,F,2,2,0,0,0,finland,1
Brad Lambert,F,1,3,0,1,0,finland,1
Henri Nikkanen,F,2,1,0,1,0,finland,1
Aku Räty,F,2,1,0,1,0,finland,1
Mikko Petman,F,1,2,1,0,0,finland,1
Mikael Pyyhtiä,F,1,1,0,0,0,finland,1
Benjamin Korhonen,F,0,2,0,0,0,finland,1
Matias Mäntykivi,F,0,1,0,0,0,finland,1
Petteri Puhakka,F,0,0,0,0,0,finland,1
Roby Järventie,F,0,0,0,0,0,finland,1
Tim Stutzle,F,5,5,0,2,0,germany,1
John Peterka,F,4,6,1,2,0,germany,1
Florian Elias,F,4,5,0,2,0,germany,1
Manuel Alberg,F,0,2,0,0,0,germany,1
Samuel Dubé,F,1,0,0,1,0,germany,1
Justin Volek,F,0,1,0,0,0,germany,1
Jan Nijenhuis,F,0,0,0,0,0,germany,1
Filip Reisnecker,F,0,0,0,0,0,germany,1
Joshua Samanski,F,0,0,0,0,0,germany,1
Markus Schweiger,F,0,0,0,0,0,germany,1
Steven Raabe,F,0,0,0,0,0,germany,1
Enrico Henriquez-Morales,F,0,0,0,0,0,germany,1
Julian Chrobot,F,0,0,0,0,0,germany,1
Jan-Luca Schumacher,F,0,0,0,0,0,germany,1
Jakub Borzecki,F,0,0,0,0,0,germany,1
Rodion Amirov,F,2,4,0,1,0,russia,1
Marat Khusnutdinov,F,2,3,1,1,0,russia,1
Yegor Afanasyev,F,2,3,0,0,0,russia,1
Vasily Podkolzin,F,2,2,1,0,0,russia,1
Arseni Gritsyuk,F,1,3,0,0,0,russia,1
Vasily Ponomaryov,F,3,0,0,0,1,russia,1
Ilya Safonov,F,2,0,1,0,0,russia,1
Zakhar Bardakov,F,1,1,0,0,0,russia,1
Mikhail Abramov,F,0,2,0,0,0,russia,1
Maxim Groshev,F,0,2,0,0,0,russia,1
Yegor Chinakhov,F,1,0,0,0,0,russia,1
Danil Bashkirov,F,1,0,1,0,0,russia,1
Vladislav Firstov,F,0,0,0,0,0,russia,1
Yegor Spiridonov,F,0,0,0,0,0,russia,1
Michal Mrazik,F,2,1,0,1,1,slovakia,1
Roman Faith,F,1,1,1,0,0,slovakia,1
Jakub Kolenic,F,0,2,0,0,0,slovakia,1
Dominik Sojka,F,1,0,0,1,0,slovakia,1
Oleksii Myklukha,F,1,0,0,0,0,slovakia,1
Matej Kaslik,F,1,0,0,0,0,slovakia,1
Martin Chromiak,F,1,0,0,1,0,slovakia,1
Simon Jellus,F,0,1,0,0,0,slovakia,1
Juraj Elias,F,0,1,0,0,0,slovakia,1
Filip Mesar,F,0,0,0,0,0,slovakia,1
Artur Turansky,F,0,0,0,0,0,slovakia,1
Dominik Jendek,F,0,0,0,0,0,slovakia,1
Juraj Slafkovsky,F,0,0,0,0,0,slovakia,1
Maros Jedlicka,F,0,0,0,0,0,slovakia,1
Noel Gunler,F,4,1,1,2,0,sweden,1
Lucas Raymond,F,2,3,0,0,0,sweden,1
Simon Holmstrom ,F,0,5,0,0,0,sweden,1
Elmer Soderblom,F,2,1,0,2,0,sweden,1
Alexander Holtz,F,1,2,0,0,0,sweden,1
Albin Sundsvik,F,1,2,1,1,0,sweden,1
Arvid Costmar,F,2,0,0,0,0,sweden,1
Theodor Niederbach,F,2,0,0,1,0,sweden,1
Oscar Bjerselius,F,1,0,0,0,0,sweden,1
Emil Heineman,F,1,0,0,0,1,sweden,1
Zion Nybeck,F,0,1,0,0,0,sweden,1
Jonathan Wikstrom,F,0,0,0,0,0,sweden,1
Oskar Kvist,F,0,0,0,0,0,sweden,1
Oskar Olausson,F,0,0,0,0,0,sweden,1
Dario Allenspach,F,0,3,0,0,0,switzerland,1
Attilio Biasca,F,1,0,0,1,0,switzerland,1
Simon Knak,F,1,0,0,1,0,switzerland,1
Ronny Dxxxhler,F,1,0,0,0,0,switzerland,1
Lorenzo Canonica,F,0,1,0,0,0,switzerland,1
Raymond Fust,F,0,1,0,0,0,switzerland,1
Joel Salzgeber,F,0,0,0,0,0,switzerland,1
Stefano Bottini,F,0,0,0,0,0,switzerland,1
Lionel Marchand,F,0,0,0,0,0,switzerland,1
Gaetan Jobin,F,0,0,0,0,0,switzerland,1
Elvis Schläpfer,F,0,0,0,0,0,switzerland,1
Keanu Derungs,F,0,0,0,0,0,switzerland,1
Valentin Hofer,F,0,0,0,0,0,switzerland,1
Trevor Zegras,F,7,11,0,1,0,usa,1
Alex Turcotte,F,3,5,1,0,0,usa,1
Arthur Kaliyev,F,3,5,1,2,0,usa,1
John Farinacci,F,5,2,0,0,0,usa,1
Matthew Boldy,F,5,2,0,3,0,usa,1
Bobby Brink,F,2,4,1,0,0,usa,1
Cole Caufield,F,2,3,1,2,0,usa,1
Brett Berard,F,1,4,0,0,0,usa,1
Matthew Beniers,F,1,2,0,0,0,usa,1
Brendan Brisson,F,2,0,0,1,0,usa,1
Patrick Moynihan,F,0,2,0,0,0,usa,1
Sam Colangelo,F,1,0,0,0,0,usa,1
Landon Slaggert,F,0,0,0,0,0,usa,1
Philipp Wimmer,D,0,0,0,0,0,austria,2
Jacob Pfeffer,D,0,0,0,0,0,austria,2
Lukas Necesany,D,0,0,0,0,0,austria,2
Bernhard Posch,D,0,0,0,0,0,austria,2
Luis Lindner,D,0,0,0,0,0,austria,2
Jonas Kutzer,D,0,0,0,0,0,austria,2
Timo Pallierer,D,0,0,0,0,0,austria,2
Bowen Byram,D,1,4,0,0,0,canada,2
Kaiden Guhle,D,2,1,0,0,0,canada,2
Braden Schneider,D,1,2,0,0,0,canada,2
Justin Barron,D,0,2,0,0,0,canada,2
Jamie Drysdale,D,0,2,0,0,0,canada,2
Jordan Spence,D,1,0,0,0,0,canada,2
Thomas Harley,D,1,0,0,0,0,canada,2
Kaedan Korczak,D,0,1,0,0,0,canada,2
Simon Kubicek,D,1,1,1,0,0,czech_republic,2
David Jiricek,D,1,1,0,0,0,czech_republic,2
Martin Hugo Has,D,0,1,0,0,0,czech_republic,2
Stanislav Svozil,D,0,1,0,0,0,czech_republic,2
Jiri Suhrada,D,0,0,0,0,0,czech_republic,2
Karel Klikorka,D,0,0,0,0,0,czech_republic,2
Michael Krutil,D,0,0,0,0,0,czech_republic,2
Radek Kucerik,D,0,0,0,0,0,czech_republic,2
Topi Niemela,D,2,6,1,0,0,finland,2
Ville Heinola,D,0,4,0,0,0,finland,2
Santeri Hatakka,D,1,1,0,0,0,finland,2
Kasper Puutio,D,0,2,0,0,0,finland,2
Eemil Viro,D,0,2,0,0,0,finland,2
Mikko Kokkonen,D,0,1,0,0,0,finland,2
Ruben Rafkin,D,0,0,0,0,0,finland,2
Matias Rajaniemi,D,0,0,0,0,0,finland,2
Simon Gnyp,D,0,4,0,0,0,germany,2
Mario Zimmermann,D,1,0,1,1,0,germany,2
Maksymilian Szuber,D,0,0,0,0,0,germany,2
Lucas Flade,D,0,0,0,0,0,germany,2
Maximilian Glotzl,D,0,0,0,0,0,germany,2
Jan Münzenberger,D,0,0,0,0,0,germany,2
Niklas Länger,D,0,0,0,0,0,germany,2
Artemi Knyazev,D,1,3,0,1,0,russia,2
Roman Bychkov,D,0,3,0,0,0,russia,2
Semyon Chistyakov,D,0,3,0,0,0,russia,2
Kirill Kirsanov,D,1,1,0,1,0,russia,2
Yegor Shekhovtsov,D,0,0,0,0,0,russia,2
Daniil Chayka,D,0,0,0,0,0,russia,2
Yan Kuznetsov,D,0,0,0,0,0,russia,2
Shakir Mukhamadullin,D,0,0,0,0,0,russia,2
Simon Nemec,D,0,4,0,0,0,slovakia,2
Samuel Knazko,D,0,1,0,0,0,slovakia,2
Andrej Golian,D,0,1,0,0,0,slovakia,2
Rayen Petrovicky,D,0,0,0,0,0,slovakia,2
Simon Becar,D,0,0,0,0,0,slovakia,2
Oliver Turan,D,0,0,0,0,0,slovakia,2
David Mudrak,D,0,0,0,0,0,slovakia,2
Marko Stacha,D,0,0,0,0,0,slovakia,2
Victor Soderstrom,D,0,5,0,0,0,sweden,2
Philip Broberg,D,0,3,0,0,0,sweden,2
Albert Johansson,D,0,3,0,0,0,sweden,2
Tobias Bjornfot,D,0,2,0,0,0,sweden,2
Gustav Berglund,D,0,1,0,0,0,sweden,2
Emil Andrae,D,0,1,0,0,0,sweden,2
Ludvig Hedstrom,D,0,0,0,0,0,sweden,2
Alex Brännstam,D,0,0,0,0,0,sweden,2
Noah Meier,D,1,1,0,1,0,switzerland,2
Noah Delemont,D,1,0,0,0,0,switzerland,2
Inaki Baragano,D,0,1,0,0,0,switzerland,2
Alessandro Villa,D,0,0,0,0,0,switzerland,2
Cedric Fiedler,D,0,0,0,0,0,switzerland,2
Bastian Guggenheim,D,0,0,0,0,0,switzerland,2
Giancarlo Chanton,D,0,0,0,0,0,switzerland,2
Rocco Pezzullo,D,0,0,0,0,0,switzerland,2
Nathan Vouardoux,D,0,0,0,0,0,switzerland,2
Cam York,D,1,5,0,0,0,usa,2
Brock Faber,D,0,5,0,0,0,usa,2
Drew Helleson,D,2,2,2,0,0,usa,2
Ryan Johnson,D,1,3,0,0,0,usa,2
Jake Sanderson,D,0,2,0,0,0,usa,2
Tyler Kleven,D,0,1,0,0,0,usa,2
Jackson LaCombe,D,0,1,0,0,0,usa,2
Henry Thrun,D,0,1,0,0,0,usa,2
Hunter Skinner,D,0,0,0,0,0,usa,2
